Name,Asset Type,Date,Plans?,Securities Firm,Ticker,Volume
2단계 배당주,배당주,31-Jul-25,Yes,,,"₩15,000,000"
3단계 현금,예금,31-Jul-25,Yes,,,"₩15,000,000"
비상금,비상금,31-Jul-25,Yes,,,"₩10,000,000"
투자중,일반 투자,31-Jul-25,Yes,,,"₩26,000,000"
GOOGL,일반 투자,"August 9, 2025   (GMT+9)",No,나무증권,GOOGL,"₩6,945,223"
IONQ,미래기술 투자,"August 9, 2025   (GMT+9)",No,나무증권,IONQ,"₩1,270,827"
AMD,일반 투자,"August 9, 2025   (GMT+9)",No,나무증권,AMD,"₩3,604,423"
인베니아,일반 투자,"August 9, 2025   (GMT+9)",No,나무증권,인베니아,"₩1,601,484"
GOOGL,일반 투자,"August 9, 2025   (GMT+9)",No,키움증권,GOOGL,"₩6,143,250"
AMD,일반 투자,"August 9, 2025   (GMT+9)",No,키움증권,AMD,"₩6,527,125"
KO,배당주,"August 9, 2025   (GMT+9)",No,키움증권,KO,"₩15,463,541"
STKH,미래기술 투자,"August 9, 2025   (GMT+9)",No,키움증권,STKH,"₩143,138"
SCHD,배당주,"August 9, 2025   (GMT+9)",No,삼성증권,SCHD,"₩15,208,814"
예금,예금,"August 9, 2025   (GMT+9)",No,우리은행,,"₩343,818"
예금,예금,"August 9, 2025   (GMT+9)",No,카카오뱅크,,"₩24,591,883"
잔고,예금,"August 9, 2025   (GMT+9)",No,대신증권,,"₩424,415"
잔고,예금,"August 9, 2025   (GMT+9)",No,KB증권,,"₩114,173"
외화예금,예금,"August 9, 2025   (GMT+9)",No,우리은행,,"₩9,512,051"
GOOGL,일반 투자,"September 11, 2025   (GMT+9)",No,나무증권,GOOGL,"₩8,333,119"
AMDL,일반 투자,"September 11, 2025   (GMT+9)",No,나무증권,AMDL,"₩3,346,489"
IONQ,미래기술 투자,"September 11, 2025   (GMT+9)",No,나무증권,IONQ,"₩1,348,634"
인베니아,일반 투자,"September 11, 2025   (GMT+9)",No,나무증권,인베니아,"₩1,684,842"
AMD,일반 투자,"September 11, 2025   (GMT+9)",No,키움증권,AMD,"₩6,016,593"
GOOGL,일반 투자,"September 11, 2025   (GMT+9)",No,키움증권,GOOGL,"₩7,355,891"
KO,배당주,"September 11, 2025   (GMT+9)",No,키움증권,KO,"₩14,798,226"
SCHD,배당주,"September 11, 2025   (GMT+9)",No,삼성증권,SCHD,"₩10,436,591"
AMDL,일반 투자,"September 11, 2025   (GMT+9)",No,삼성증권,AMDL,"₩5,452,333"
예금,예금,"September 11, 2025   (GMT+9)",No,키움저축은행,,"₩24,016,057"
예금,예금,"September 11, 2025   (GMT+9)",No,우리은행,,"₩1,000,000"
RGTI,미래기술 투자,"September 11, 2025   (GMT+9)",No,KB증권,RGTI,"₩607,857"
STKH,미래기술 투자,"September 11, 2025   (GMT+9)",No,키움증권,STKH,"₩100,000"
예금,예금,"September 11, 2025   (GMT+9)",No,우리은행,,"₩9,062,781"
,일반 투자,03-Oct-25,No,나무증권,GOOGL,"₩8,607,532"
,일반 투자,03-Oct-25,No,나무증권,AMDL,"₩3,746,882"
,미래기술 투자,03-Oct-25,No,나무증권,IONQ,"₩2,121,007"
,일반 투자,03-Oct-25,No,키움증권,AMDL,"₩6,870,438"
,일반 투자,03-Oct-25,No,키움증권,GOOGL,"₩7,566,791"
,배당주,03-Oct-25,No,키움증권,KO,"₩14,635,499"
,미래기술 투자,03-Oct-25,No,키움증권,STKH,"₩178,563"
,배당주,03-Oct-25,No,삼성증권,SCHD,"₩10,576,308"
,일반 투자,03-Oct-25,No,삼성증권,AMDL,"₩6,125,210"
,미래기술 투자,03-Oct-25,No,KB증권,RGTI,"₩1,321,223"
,예금,03-Oct-25,No,키움저축은행,,"₩27,952,902"
,예금,03-Oct-25,No,우리은행,,"₩9,239,548"
,일반 투자,03-Oct-25,No,나무증권,인베니아,"₩1,361,514"
잔고(추정),,28-Mar-25,No,카카오뱅크,,"₩20,000,000"
,예금,02-Nov-25,No,키움저축은행,,"₩31,008,278"
,일반 투자,02-Nov-25,No,나무증권,인베니아,"₩1,273,104"
,일반 투자,02-Nov-25,No,나무증권,AMD,"₩7,677,423"
,일반 투자,02-Nov-25,No,나무증권,GOOGL,"₩9,987,306"
,미래기술 투자,02-Nov-25,No,나무증권,IONQ,"₩2,129,673"
,배당주,02-Nov-25,No,키움증권,KO,"₩15,867,284"
,일반 투자,02-Nov-25,No,키움증권,AMD,"₩14,287,808"
,일반 투자,02-Nov-25,No,키움증권,GOOGL,"₩8,848,712"
,미래기술 투자,02-Nov-25,No,키움증권,STKH,"₩136,460"
,미래기술 투자,02-Nov-25,No,삼성증권,IONQ,"₩1,686,805"
,배당주,02-Nov-25,No,삼성증권,SCHD,"₩7,461,837"
,일반 투자,02-Nov-25,No,삼성증권,AMD,"₩12,757,849"
,미래기술 투자,02-Nov-25,No,삼성증권,RGTI,"₩1,701,136"
,미래기술 투자,02-Nov-25,No,KB증권,RGTI,"₩1,705,468"
,예금,02-Nov-25,No,우리은행,,"₩9,387,145"
,일반 투자,05-Dec-25,No,나무증권,AMD,"₩14,351,590"
,일반 투자,05-Dec-25,No,나무증권,GOOGL,"₩11,633,939"
,미래기술 투자,05-Dec-25,No,나무증권,IONQ,"₩3,971,768"
,미래기술 투자,05-Dec-25,No,나무증권,RGTI,"₩1,312,195"
,예금,05-Dec-25,No,나무증권,,"₩501,430"
,배당주,05-Dec-25,No,키움증권,KO,"₩16,775,847"
,일반 투자,05-Dec-25,No,키움증권,AMD,"₩12,483,233"
,일반 투자,05-Dec-25,No,키움증권,GOOGL,"₩10,255,203"
,미래기술 투자,05-Dec-25,No,키움증권,STKH,"₩129,919"
,예금,05-Dec-25,No,키움증권,,"₩220,398"
,일반 투자,05-Dec-25,No,나무증권,인베니아,"₩1,237,740"
,미래기술 투자,05-Dec-25,No,삼성증권,IONQ,"₩1,473,957"
,배당주,05-Dec-25,No,삼성증권,SCHD,"₩7,994,016"
,일반 투자,05-Dec-25,No,삼성증권,AMD,"₩10,846,555"
,미래기술 투자,05-Dec-25,No,삼성증권,RGTI,"₩1,105,182"
,예금,05-Dec-25,No,우리은행,,"₩1,229,340"
,미래기술 투자,05-Dec-25,No,KB증권,RGTI,"₩1,098,333"
,예금,05-Dec-25,No,키움저축은행,,"₩29,544,292"
,일반 투자,16-Jan-26,No,나무증권,인베니아,"₩2,839,500"
,일반 투자,16-Jan-26,No,나무증권,AMD,"₩15,707,007"
,일반 투자,16-Jan-26,No,나무증권,GOOGL,"₩12,271,191"
,미래기술 투자,16-Jan-26,No,나무증권,IONQ,"₩4,192,627"
,미래기술 투자,16-Jan-26,No,나무증권,RGTI,"₩1,205,197"
,일반 투자,16-Jan-26,No,키움증권,AMD,"₩13,554,718"
,일반 투자,16-Jan-26,No,키움증권,GOOGL,"₩10,744,894"
,배당주,16-Jan-26,No,키움증권,KO,"₩16,795,447"
,미래기술 투자,16-Jan-26,No,키움증권,STKH,"₩105,862"
,예금,16-Jan-26,No,키움증권,,"₩221,073"
,일반 투자,16-Jan-26,No,삼성증권,AMD,"₩11,879,070"
,배당주,16-Jan-26,No,삼성증권,SCHD,"₩8,418,131"
,미래기술 투자,16-Jan-26,No,삼성증권,IONQ,"₩1,373,025"
,미래기술 투자,16-Jan-26,No,삼성증권,RGTI,"₩1,017,258"
,예금,16-Jan-26,No,삼성증권,,"₩390,739"
,예금,16-Jan-26,No,키움저축은행,,"₩35,559,682"
,미래기술 투자,16-Jan-26,No,KB증권,RGTI,"₩1,419,755"
,예금,16-Jan-26,No,대신증권,,"₩439,819"
,예금,06-Feb-26,No,키움저축은행,,"₩22,500,000"
,일반 투자,06-Feb-26,No,나무증권,인베니아,"₩1,773,110"
,일반 투자,06-Feb-26,No,나무증권,AMD,"₩4,795,886"
,공격적 투자,06-Feb-26,No,나무증권,AMDL,"₩15,330,493"
,미래기술 투자,06-Feb-26,No,나무증권,IONQ,"₩6,450,620"
,일반 투자,06-Feb-26,No,나무증권,GOOGL,"₩11,691,727"
,미래기술 투자,06-Feb-26,No,나무증권,RGTI,"₩1,894,686"
,미래기술 투자,06-Feb-26,No,키움증권,STKH,"₩80,824"
,미래기술 투자,06-Feb-26,No,키움증권,RGTI,"₩293,133"
,일반 투자,06-Feb-26,No,키움증권,GOOGL,"₩10,365,306"
,배당주,06-Feb-26,No,키움증권,KO,"₩18,368,565"
,일반 투자,06-Feb-26,No,키움증권,AMD,"₩11,066,716"
,미래기술 투자,06-Feb-26,No,삼성증권,IONQ,"₩869,921"
,미래기술 투자,06-Feb-26,No,삼성증권,RGTI,"₩937,721"
,일반 투자,06-Feb-26,No,삼성증권,AMD,"₩9,555,339"
,배당주,06-Feb-26,No,삼성증권,SCHD,"₩8,774,825"
,미래기술 투자,06-Feb-26,No,KB증권,RGTI,"₩851,713"
,예금,24-Mar-26,No,키움저축은행,,"₩24,042,018"
,미래기술 투자,24-Mar-26,No,KB증권,RGTI,"₩873,289"
,미래기술 투자,24-Mar-26,No,삼성증권,IONQ,"₩944,687"
,배당주,24-Mar-26,No,삼성증권,SCHD,"₩9,003,902"
,미래기술 투자,24-Mar-26,No,삼성증권,RGTI,"₩971,924"
,일반 투자,24-Mar-26,No,삼성증권,AMD,"₩9,003,902"
,일반 투자,24-Mar-26,No,키움증권,META,"₩16,261,744"
,일반 투자,24-Mar-26,No,키움증권,GOOGL,"₩9,986,180"
,미래기술 투자,24-Mar-26,No,키움증권,NPCE,"₩1,904,824"
,미래기술 투자,24-Mar-26,No,키움증권,STKH,"₩57,116"
,미래기술 투자,24-Mar-26,No,키움증권,RGTI,"₩297,777"
,일반 투자,24-Mar-26,No,키움증권,AMD,"₩11,906,845"
,일반 투자,24-Mar-26,No,나무증권,AMDL,"₩21,944,833"
,일반 투자,24-Mar-26,No,나무증권,GOOGL,"₩11,406,113"
,미래기술 투자,24-Mar-26,No,나무증권,IONQ,"₩6,944,176"
,미래기술 투자,24-Mar-26,No,나무증권,RGTI,"₩1,949,835"
,일반 투자,24-Mar-26,No,나무증권,인베니아,"₩2,227,401"
,일반 투자,08-Apr-26,No,나무증권,인베니아,"₩1,702,525"
,일반 투자,08-Apr-26,No,나무증권,AMDL,"₩27,581,672"
,일반 투자,08-Apr-26,No,나무증권,GOOGL,"₩11,971,526"
,미래기술 투자,08-Apr-26,No,나무증권,IONQ,"₩6,505,488"
,미래기술 투자,08-Apr-26,No,나무증권,RGTI,"₩1,908,362"
,일반 투자,08-Apr-26,No,키움증권,AMD,"₩13,579,971"
,일반 투자,08-Apr-26,No,키움증권,META,"₩16,258,958"
,일반 투자,08-Apr-26,No,키움증권,GOOGL,"₩10,501,904"
,미래기술 투자,08-Apr-26,No,키움증권,NPCE,"₩2,092,922"
,미래기술 투자,08-Apr-26,No,키움증권,RGTI,"₩291,620"
,미래기술 투자,08-Apr-26,No,키움증권,STKH,"₩71,219"
,일반 투자,08-Apr-26,No,삼성증권,AMD,"₩11,873,342"
,배당주,08-Apr-26,No,삼성증권,SCHD,"₩9,069,670"
,미래기술 투자,08-Apr-26,No,삼성증권,IONQ,"₩876,626"
,미래기술 투자,08-Apr-26,No,삼성증권,RGTI,"₩945,486"
,미래기술 투자,08-Apr-26,No,KB증권,RGTI,"₩840,652"
,예금,08-Apr-26,No,키움저축은행,,"₩25,983,160"
,일반 투자,24-Apr-26,No,나무증권,GOOGL,"₩12,541,607"
,미래기술 투자,24-Apr-26,No,나무증권,IONQ,"₩8,695,066"
,미래기술 투자,24-Apr-26,No,나무증권,RGTI,"₩2,039,415"
,예금,24-Apr-26,No,나무증권,,"₩21,230,145"
,일반 투자,24-Apr-26,No,나무증권,인베니아,"₩1,999,844"
,예금,24-Apr-26,No,키움저축은행,,"₩27,400,534"
,일반 투자,24-Apr-26,No,키움증권,AMD,"₩19,938,601"
,일반 투자,24-Apr-26,No,키움증권,META,"₩17,705,885"
,일반 투자,24-Apr-26,No,키움증권,GOOGL,"₩11,002,306"
,미래기술 투자,24-Apr-26,No,키움증권,NPCE,"₩2,418,968"
,미래기술 투자,24-Apr-26,No,키움증권,RGTI,"₩310,353"
,미래기술 투자,24-Apr-26,No,키움증권,STKH,"₩78,123"
,일반 투자,24-Apr-26,No,삼성증권,AMD,"₩17,345,288"
,미래기술 투자,24-Apr-26,No,삼성증권,IONQ,"₩1,167,453"
,배당주,24-Apr-26,No,삼성증권,SCHD,"₩9,091,890"
,미래기술 투자,24-Apr-26,No,삼성증권,RGTI,"₩1,012,375"
,배당주,24-Apr-26,No,나무증권,KO,"₩15,100,794"
,배당주,24-Apr-26,No,나무증권,SCHD,"₩15,047,411"
,미래기술 투자,24-Apr-26,No,KB증권,RGTI,"₩922,099"
,배당주,06-May-26,No,나무증권,KO,"₩22,216,372"
,일반 투자,06-May-26,No,나무증권,인베니아,"₩1,827,100"
,미래기술 투자,06-May-26,No,나무증권,IONQ,"₩9,910,875"
,배당주,06-May-26,No,나무증권,SCHD,"₩22,163,008"
,미래기술 투자,06-May-26,No,나무증권,RGTI,"₩2,264,864"
,일반 투자,06-May-26,No,키움증권,META,"₩15,962,160"
,일반 투자,06-May-26,No,키움증권,GOOGL,"₩12,743,339"
,미래기술 투자,06-May-26,No,키움증권,NPCE,"₩2,411,065"
,미래기술 투자,06-May-26,No,키움증권,RGTI,"₩347,383"
,미래기술 투자,06-May-26,No,키움증권,STKH,"₩75,169"
,배당주,06-May-26,No,삼성증권,SCHD,"₩19,089,531"
,미래기술 투자,06-May-26,No,삼성증권,IONQ,"₩1,331,875"
,미래기술 투자,06-May-26,No,삼성증권,RGTI,"₩1,119,726"
,배당주,06-May-26,No,삼성증권,KO,"₩10,370,554"
,일반 투자,06-May-26,No,키움증권,QQQ,"₩23,214,854"
,미래기술 투자,06-May-26,No,KB증권,RGTI,"₩1,003,931"
,예금,06-May-26,No,우리은행,,"₩20,957,707"
,예금,06-May-26,No,키움저축은행,,"₩28,394,500"
KO (나무) 2026-06-10,배당주,10-Jun-26,No,나무증권,KO,"₩24,295,824"
IONQ (나무) 2026-06-10,미래기술 투자,10-Jun-26,No,나무증권,IONQ,"₩12,045,441"
RGTI (나무) 2026-06-10,미래기술 투자,10-Jun-26,No,나무증권,RGTI,"₩2,510,085"
예수금 (나무) 2026-06-10,예금,10-Jun-26,No,나무증권,,"₩550,144"
인베니아 (나무) 2026-06-10,일반 투자,10-Jun-26,No,나무증권,인베니아,"₩1,682,593"
SCHD (나무) 2026-06-10,배당주,10-Jun-26,No,나무증권,SCHD,"₩23,598,256"
QQQ (키움) 2026-06-10,일반 투자,10-Jun-26,No,키움증권,QQQ,"₩37,182,129"
RGTI (키움) 2026-06-10,미래기술 투자,10-Jun-26,No,키움증권,RGTI,"₩378,484"
NPCE (키움) 2026-06-10,미래기술 투자,10-Jun-26,No,키움증권,NPCE,"₩2,318,396"
META (키움) 2026-06-10,일반 투자,10-Jun-26,No,키움증권,META,"₩16,113,520"
STKH (키움) 2026-06-10,미래기술 투자,10-Jun-26,No,키움증권,STKH,"₩49,413"
SCHD (삼성) 2026-06-10,배당주,10-Jun-26,No,삼성증권,SCHD,"₩20,335,469"
IONQ (삼성) 2026-06-10,미래기술 투자,10-Jun-26,No,삼성증권,IONQ,"₩1,623,438"
KO (삼성) 2026-06-10,배당주,10-Jun-26,No,삼성증권,KO,"₩11,331,050"
RGTI (삼성) 2026-06-10,미래기술 투자,10-Jun-26,No,삼성증권,RGTI,"₩1,244,174"
RGTI (KB) 2026-06-10,미래기술 투자,10-Jun-26,No,KB증권,RGTI,"₩1,111,881"
키움저축은행 잔액 2026-06-10,예금,10-Jun-26,No,키움저축은행,,"₩22,279,468"
우리은행 외화정기예금 2026-06-10,예금,10-Jun-26,No,우리은행,,"₩21,981,503"
